Item,Sentence
id_00000040,"color is White black Unlined Lightweight, woven"
id_00000041,color is Navy Sleeveless Semi-sheer
id_00000042,"color is Cream Fully lined Lightweight, woven"
id_00000043,"color is White Unlined, woven Round neckline, button keyhole back"
id_00000044,color is Burgundy cream Knit Lightweight
id_00000045,color is Black white Adjustable drawstring pull at hemline Midweight knit
id_00000046,color is White black Officially licensed product Lightweight knit
id_00000047,"color is Black multi Lightweight, partially lined Woven, buttoned keyhole back"
id_00000048,color is Cream Raw-cut hem Lightweight
id_00000049,"color is Blue white Lightweight, woven 100% cotton"
id_00000050,color is Navy pink Unlined 100% rayon
id_00000051,color is Grey white Midweight Contrast ribbed trim
id_00000052,"color is Heather grey black 28.5"" approx. inseam, 28"" waist, 9"" leg opening, 11.5"" rise, 18"" thigh circumference Measured from Small"
id_00000053,color is Black heather grey Lightweight 100% cotton
id_00000054,"color is Black Fully lined, rain guard in back Lightweight, woven"
id_00000055,"color is Charcoal Lightweight, woven Faux front pockets, back patch pockets"
id_00000056,"color is White blue Woven, partially lined Zip-tab fly, slant & welt pockets"
id_00000057,"color is Cream magenta 24"" approx. length from high point shoulder to hem, 40"" chest, 44"" waist, 18"" sleeve length from high point shoulder Measured from Small"
id_00000058,"color is Black 27"" approx. length from high point shoulder to hem, 34"" chest, 34"" waist, 25"" sleeve length from high point shoulder Measured from Small"
id_00000059,"color is Black fuchsia Unlined Lightweight, woven"
id_00000060,color is Blush Unlined Lightweight knit
id_00000061,"color is Lime 25.5"" approx. length from high point shoulder to hem, 34"" chest, 33"" waist, 8"" sleeve length from high point shoulder Measured from Small"
id_00000062,color is Cream Lightweight knit Snap-buttoned front
id_00000063,"color is Black white Lightweight knit Shell 1: 61% cotton, 39% polyester; Shell 2: 67% cotton, 33% polyester"
id_00000064,color is Cream Partial lining Lightweight
id_00000065,"color is White black Zip fly & fully lined bottoms Unlined top, woven"
id_00000065,"color is White black Zip fly & fully lined bottoms Unlined top, woven"
id_00000066,"color is Mint peach Unlined,  woven Concealed side zipper, hook-eye closure"
id_00000067,"color is White blue Scoop neckline, unlined Lightweight, woven"
id_00000068,"color is Yellow black Lightweight 50% cotton, 50% modal"
id_00000069,"color is Bright cobalt Fully lined Lightweight, woven"
id_00000070,"color is Black cream 26"" approx. length from high point shoulder to hem, 38"" chest, 34"" waist, 23.5"" sleeve length from high point shoulder Measured from Small"
id_00000071,color is Taupe grey Lightweight Long sleeves
id_00000072,color is Navy white Unlined 100% rayon
id_00000073,"color is Black coral Elasticized bustline and waist, unlined Lightweight, woven"
id_00000074,"color is Black Unlined, woven Concealed back zipper, hook-eye closure"
id_00000075,"color is Charcoal Crew neck 54% rayon, 46% polyester"
id_00000076,"color is Orange purple Elasticized waist Unlined, woven"
id_00000077,"color is Black tomato Round neckline Woven, unlined"
id_00000078,"color is Light blue Lightweight, woven Basic collar"
id_00000079,"color is Red black 27.5"" approx. length from high point shoulder to hem, 28"" chest, 24"" waist Measured from Small"
id_00000080,color is Black Woven Zip fly
id_00000081,"color is Indigo Five-pocket construction, zip fly Woven"
id_00000082,"color is Sage Unlined, woven 100% polyester"
id_00000083,color is Navy cream Partially lined Woven
id_00000084,color is Navy green Unlined Lightweight knit
id_00000085,"color is Light grey 93% rayon, 7% spandex 26"" full length, 42"" chest, 40"" waist, 12"" sleeve length"
id_00000086,color is White blue Contrast ribbed crew neckline Lightweight knit
id_00000087,color is Aqua Fully lined 100% polyester
id_00000088,"color is Red 34"" approx. length from high point shoulder to hem, 26"" chest, 24"" waist Measured from Small"
id_00000089,"color is Brown Zip fly Lightweight, woven"
id_00000090,"color is Cream Woven, unlined Shell & Embroidery: 100% polyester; Shell 2: 100% rayon"
id_00000091,"color is Cream aqua Knit Short sleeves, ribbed crew neck"
id_00000092,"color is Black cream Round neckline, knit Unlined"
id_00000093,"color is Ivory blue Buttoned keyhole front Lightweight, unlined"
id_00000094,"color is Navy Fully lined Lightweight, woven"
id_00000094,"color is Navy Fully lined Lightweight, woven"
id_00000095,"color is Black gold Knit Crew neck, ribbed trim"
id_00000096,"color is Black cream Lightweight, fully lined Woven"
id_00000097,color is Rose Midweight knit 100% acrylic
id_00000098,color is Cocoa beige Lightweight knit 100% cotton
id_00000099,"color is Oatmeal black Lightweight knit 57% cotton, 40% viscose, 3% spandex"
id_00000100,color is White Knit Ribbed crew neck
id_00000101,"color is Navy Stretch-knit 95% cotton, 5% spandex"
id_00000102,"color is Mustard Unlined, round neckline Lightweight knit"
id_00000103,"color is Tomato Zip fly, unlined Lightweight, woven"
id_00000104,"color is Blush black Fully lined, buttoned keyhole back Lightweight, woven"
id_00000105,"color is Black taupe Unlined Lightweight, woven"
id_00000106,"color is Pink teal Woven, unlined Contrast trim"
id_00000107,"color is Cream Midweight Shell: 90% acrylic, 10% wool; Trim: 100% acrylic"
id_00000108,"color is Pink Invisible side zipper, fully lined Lightweight, woven"
id_00000109,color is Cream grey Crew neck Knit
id_00000110,"color is Blue taupe Unlined Lightweight, woven"
id_00000111,color is Black multi Unlined Elasticized waist
id_00000112,"color is Chestnut Lightweight 58% rayon, 40% polyester, 2% spandex"
id_00000113,color is Cream black V-neckline Lightweight knit
id_00000113,color is Cream black V-neckline Lightweight knit
id_00000114,"color is Burgundy Lightweight, woven Zip fly"
id_00000115,"color is White black Officially licensed product Lightweight, short sleeves"
id_00000116,"color is Charcoal Lightweight, zippered front Unlined, long sleeves"
id_00000117,"color is Khaki 92% cotton, 8% spandex 23"" full length, 26"" chest, 24"" waist"
id_00000118,"color is Black Invisible back zipper, unlined Lightweight, woven"
id_00000119,"color is Rust 100% acrylic 25"" full length, 36"" chest, 36"" waist"
id_00000119,"color is Rust 100% acrylic 25"" full length, 36"" chest, 36"" waist"
id_00000120,color is White brown Officially licensed product Lightweight knit
id_00000121,color is Oatmeal black Knit Lightweight
id_00000122,"color is Grey red Lightweight knit 52% cotton, 48% polyester"
id_00000123,"color is Rust 95% cotton, 5% spandex 10.5"" bust to hem, 30"" chest, 26"" waist"
id_00000124,"color is Cream Lightweight knit 60% cotton, 40% polyester"
id_00000125,"color is Cream navy Lightweight knit 55% cotton, 45% acrylic"
id_00000126,"color is Cream black Long sleeves 92% cotton, 8% nylon"
id_00000127,"color is Black Knit Shell 1: 59% rayon, 41% polyester; Shell 2: 93% polyester, 7% spandex"
id_00000128,color is Black cream Fully lined Woven
id_00000129,color is Cream navy Unlined Woven
id_00000130,"color is Cream black Lightweight knit 95% cotton, 5% spandex"
id_00000131,"color is Cream Unlined, woven Partial covered button placket at front"
id_00000132,"color is Cream Concealed back zipper, fully lined Lightweight"
id_00000133,"color is Navy cream Lightweight knit 54% cotton, 43% viscose, 3% spandex"
id_00000134,color is Black Unlined Lightweight
id_00000135,color is Amber Semi-sheer Lightweight knit
id_00000136,"color is Cream black Lightweight knit 67% rayon, 30% polyester, 3% spandex"
id_00000137,"color is Black white Unlined, woven Short sleeves, partially elasticized waist"
id_00000138,"color is Black white Knit 95% rayon, 5% spandex"
id_00000139,"color is Cream black Lightweight knit 60% cotton, 40% polyester"
id_00000140,color is Brown white Lightweight knit Contrast crew neck
id_00000141,color is Cream Unlined Stretch knit
id_00000142,color is Black multi Crew neck Knit
id_00000143,"color is Brown black Lightweight, woven 100% cotton"
id_00000144,"color is Olive Unlined Lightweight, woven"
id_00000145,"color is Black royal Woven Basic collar, chest patch pocket"
id_00000146,color is Black black Officially licensed product Lightweight knit
id_00000147,"color is Dark denim Woven Lightweight, zip fly"
id_00000148,"color is Rust black Unlined, concealed back zipper Woven"
id_00000149,"color is Taupe cream Lightweight knit Shell: 55% polyester, 42% rayon, 3% spandex; Trim: 94% nylon, 6% spandex"
id_00000150,"color is Grey Lightweight 54% cotton, 46% polyester"
id_00000151,"color is Dusty blue approx. length from high point shoulder to hem 27.5"",  37"" chest, 36"" waist, 27"" sleeve length from high point shoulder Measured from Small"
id_00000152,color is Black Lightweight Woven
id_00000153,"color is Cream Midweight, woven Unlined, side slant pockets"
id_00000154,"color is White black 55% cotton, 45% modal 24"" full length, 39"" chest, 39"" waist, 12.5"" sleeve length"
id_00000155,"color is Black Sleeveless, unlined Lightweight"
id_00000156,"color is Indigo Lightweight, woven 63% cotton, 13% rayon, 1% spandex"
id_00000157,"color is Peach Partially lined Lightweight, woven"
id_00000158,"color is Pink Vented sides, unlined Lightweight knit"
id_00000159,"color is Neon pink  24"" approx. length from high point shoulder to hem, 38"" chest, 34"" waist, 6.5"" sleeve length from high point shoulder  Measured from Small "
id_00000160,color is Charcoal cream Midweight knit Long sleeves
id_00000161,color is Grey red Officially licensed product Lightweight
id_00000162,"color is Indigo Lightweight, woven 60% cotton, 25% polyester, 14% rayon, 1% spandex"
id_00000163,"color is Cream coral Knit & woven, slanted welt pockets Unlined, zippered front"
id_00000164,"color is Black Unlined Lightweight, woven"
id_00000165,color is Ivory Partially lined Knit
id_00000166,"color is Cream black Lightweight knit 60% cotton, 40% polyester"
id_00000167,"color is Black white Lightweight, woven 100% cotton"
id_00000168,"color is Black Woven, fully lined Zippered front & side pockets"
id_00000169,"color is Cream multi Lightweight knit 60% cotton, 40% rayon"
id_00000170,"color is Charcoal Round neckline 60% cotton, 40% polyester"
id_00000171,"color is Apricot Unlined, woven V-neckline"
id_00000172,"color is Blue cream Unlined, woven 100% rayon"
id_00000173,"color is Black silver Lightweight, woven Fully lined, concealed back zipper"
id_00000174,color is Mustard black Ribbed crew neck Knit
id_00000175,color is Cream multi Knit Contrast trim
id_00000176,"color is Black Woven Five-pocket construction, zip fly"
id_00000177,"color is Cream black Ribbed trim, raw-cut hem Lightweight"
id_00000178,"color is Blue cream Slanted front pockets Unlined, woven"
id_00000179,"color is Burgundy pink Adjustable straps Unlined, woven"
id_00000180,"color is Cream Partially lined, woven 100% rayon"
id_00000181,"color is Black Unlined, cuffed sleeves Midweight, woven"
id_00000181,"color is Black Unlined, cuffed sleeves Midweight, woven"
id_00000182,"color is Dark denim Woven, zip fly 72% cotton, 27% polyester, 1% spandex"
id_00000183,"color is Ivory black Lightweight, woven Partially lined, exposed back zipper"
id_00000184,color is Heather grey Short sleeves Lightweight knit
id_00000185,"color is Gold blue Contrast neckline, sleeves & back Lightweight knit"
id_00000186,"color is Indigo black Midweight, fully lined Shell 1: 99% cotton, 1% spandex; Shell 2: 67% rayon, 33% polyester; Coating: 100% polyurethane; Lining: 100% polyester"
id_00000187,color is Eggplant Fully lined Lightweight knit
id_00000188,"color is Black beige Partially lined Lightweight, woven"
id_00000189,color is Black Shirred waist Lightweight knit
id_00000190,"color is Blush Round neckline Lightweight, woven"
id_00000191,"color is Black multi Concealed back zipper, fully lined Lightweight, woven"
id_00000192,"color is Cream black Woven, short sleeves Basic collar, chest patch pocket"
id_00000193,"color is White grey Lightweight, woven Basic collar"
id_00000194,"color is Denim green Zip-fly, five-pocket construction Woven, lightweight"
id_00000195,"color is Pink black Knit 50% cotton, 50% modal"
id_00000196,color is Cream multi Contrast trim at its neckline & armholes Lightweight knit
id_00000197,color is Mustard Unlined Lightweight knit
id_00000198,"color is Black white 94% rayon, 6% spandex 23"" full length, 26"" chest, 26"" waist"
id_00000199,color is Charcoal taupe Round neckline Lightweight knit
id_00000200,color is Black cream Unlined Lightweight knit
id_00000201,color is Cream Lightweight knit 100% cotton
id_00000202,"color is Black multi Concealed side zippers, partially lined Lightweight, woven"
id_00000203,color is Black cream Unlined Lightweight knit
id_00000204,"color is Denim washed white Lightweight, woven Basic collar, chest patch pocket"
id_00000205,color is White black Officially licensed product Lightweight
id_00000206,"color is Cream multi Round neckline, unlined Lightweight, woven"
id_00000207,color is Black red Unlined Lightweight
id_00000208,"color is Dark olive Partially lined Lightweight, woven"
id_00000209,"color is Blue black Knit, long sleeves 79% acrylic, 19% polyester, 2% metallic yarn"
id_00000210,color is Cream black Unlined Medium weight
id_00000211,color is Charcoal multi Officially licensed product Knit
id_00000212,color is Blue cream Knit 100% rayon
id_00000213,"color is Black 28.5"" approx. inseam, 27"" waist, 10"" leg opening, 11"" rise, 18"" thigh circumference Measured from Small"
id_00000214,"color is Black white Lightweight knit 94% cotton, 6% lycra"
id_00000215,"color is Black Lightweight 96% polyester, 4% spandex"
id_00000216,color is Black white Lightweight knit Back patch pocket
id_00000217,color is Navy black Lightweight knit 100% acrylic
id_00000218,"color is Cream Elasticized cuffs, unlined Lightweight, woven"
id_00000219,color is White black Round neckline Knit
id_00000220,"color is Heather grey Lightweight knit 50% polyester, 38% cotton 12% rayon"
id_00000221,"color is White Lightweight knit Shell: 95% rayon, 5% spandex; Contrast: 100% polyester"
id_00000222,color is Black cream Knit Lightweight
id_00000222,color is Black cream Knit Lightweight
id_00000223,"color is Black red Partially lined, knit Ribbed crew neck"
id_00000224,"color is Coral 32"" approx. length from high point shoulder to hem, 28"" chest, 25"" waist Measured from Small"
id_00000225,"color is Light denim Zip fly Lightweight, woven"
id_00000226,"color is Navy red Lightweight knit Basic collar, two-button placket"
id_00000227,color is Ivory navy Woven Fully lined
id_00000228,color is White Lightweight knit 100% polyester
id_00000229,"color is Black red Adjustable spaghetti straps, fully lined Concealed back zipper, woven"
id_00000230,"color is Cream Lightweight knit Shell 1: 100% rayon; Shell 2: 93% nylon, 7% spandex"
id_00000230,"color is Cream Lightweight knit Shell 1: 100% rayon; Shell 2: 93% nylon, 7% spandex"
id_00000231,"color is Black gold Woven, partially lined Lightweight"
id_00000232,"color is Black Knit, unlined Shell 1: 100% nylon; Shell 2: 100% polyester"
id_00000233,"color is Dark grey Partially lined, concealed back zipper Lightweight knit & woven"
id_00000234,"color is Light denim Five-pocket construction, zip fly 100% cotton"
id_00000235,"color is Purple Unlined, woven 100% viscose"
id_00000236,"color is Heather grey black Lightweight 95% rayon, 5% spandex"
id_00000237,"color is Blue burgundy Lightweight, woven Unlined"
id_00000238,"color is Cream black Round neckline, short sleeves Unlined"
id_00000239,color is Cream Unlined Woven
id_00000240,color is White navy Lightweight 100% cotton
id_00000241,"color is White multi Officially licensed product Contrast heathered neckline, knit"
id_00000242,"color is Black white Lightweight knit Shell: 49% polyester, 48% rayon, 3% spandex; Contrast: 100% cotton"
id_00000243,color is Cream multi Mid-weight knit pullover 100% polyester
id_00000244,color is Cream Slip included Lightweight knit
id_00000245,"color is Cream black Lightweight, woven Partially lined, invisible back zipper"
id_00000246,"color is Grey black Lightweight knit 54% cotton, 46% polyester"
id_00000247,"color is Black Lightweight knit 71% rayon, 29% polyester"
id_00000248,color is Navy cream Unlined Lightweight knit
id_00000249,color is Heather grey white Round neckline Lightweight knit
id_00000250,color is Black cream Partially lined Lightweight stretch-knit
id_00000251,"color is Black gold Lightweight, fully lined Invisible side zipper"
id_00000252,"color is Cream 18"" approx. length from high point shoulder to hem, 52"" chest, 50"" waist, 4"" sleeve length from high point shoulder Measured from Small"
id_00000253,"color is Cream black Contrast round neckline, knit 50% cotton, 50% modal"
id_00000254,color is Black white Zip fly with hook-eye closure Woven
id_00000255,"color is Berry Unlined, lightweight Buttoned keyhole back"
id_00000256,"color is Blue Zip fly Unlined, lightweight"
id_00000257,"color is Royal 8"" approx. length from bust to hem, 26"" chest, 24"" waist Measured from Small"
id_00000258,"color is Blush Lightweight 60% cotton, 40% rayon"
id_00000259,"color is Peach multi Unlined Lightweight, woven"
id_00000260,"color is Cream Lightly padded shoulders, open-front Medium weight, woven"
id_00000261,color is Teal Partially lined Woven
id_00000262,"color is White black Lightweight knit Crew neck, ribbed trim"
id_00000263,color is Black grey Unlined Knit
id_00000264,"color is Cream Unlined Lightweight, woven"
id_00000265,color is Black Zip fly Woven
id_00000266,color is White black Crew neck Semi-sheer
id_00000267,"color is Black Lightweight, woven Fully lined"
id_00000268,"color is Beige orange Fully lined, woven Concealed side zipper, hook-eye closure"
id_00000269,"color is Nude black Unlined, invisible back zipper Lightweight knit"
id_00000270,"color is Burgundy Zip fly Woven, unlined"
id_00000271,"color is Cream navy Unlined Lightweight, woven"
id_00000272,color is Cream Fully lined Lightweight knit
id_00000273,"color is Black Lightweight knit 62% cotton, 38% polyester"
id_00000274,"color is Khaki Lightweight, woven 38% cotton, 35% rayon, 24% lyocell, 3% spandex"
id_00000275,"color is Navy white Fully lined, exposed back zipper Lightweight knit"
id_00000276,color is Burgundy Partially lined Lightweight knit
id_00000276,color is Burgundy Partially lined Lightweight knit
id_00000277,"color is Charcoal black Unlined, knit 45% cotton, 25% polyester, 24% rayon, 6% rayon"
id_00000278,"color is Cream black 60% cotton, 40% modal 16"" bust to hem, 26"" chest, 24"" waist"
id_00000279,"color is Ivory black Lightweight knit Shell 1: 60% cotton, 40% modal; Shell 2: 100% polyester"
id_00000280,"color is White Concealed back zipper, short sleeves Partially lined, lightweight"
id_00000281,"color is Cream rust Partially lined, woven Hidden snap-button closure, darted bust"
id_00000282,"color is Black white Lightweight Fully lined, woven"
id_00000283,"color is Black pink Unlined, woven Long sleeves"
id_00000284,"color is Cream Lightweight 61% acrylic, 39% nylon"
id_00000285,"color is Oatmeal Lightweight 85% acrylic, 15% spandex"
id_00000286,"color is Khaki Woven 74% cotton, 23% polyester, 3% spandex"
id_00000287,"color is Cream dark navy Unlined Lightweight, woven"
id_00000288,"color is Burgundy Knit, partially lined Lightweight"
id_00000289,"color is Indigo Woven, short sleeves Basic collar, button front"
id_00000290,"color is Olive white Elasticized ankle cuffs, unlined Lightweight, woven"
id_00000291,color is Beige Lightweight 100% cotton
id_00000291,color is Beige Lightweight 100% cotton
id_00000292,"color is Black Lightweight knit 72% nylon, 28% rayon"
id_00000292,"color is Black Lightweight knit 72% nylon, 28% rayon"
id_00000293,"color is Denim cream Unlined, woven 100% cotton"
id_00000294,"color is Charcoal heather white Lightweight knit 70% cotton, 30% polyester"
id_00000295,"color is Black Lightweight 96% rayon, 4% spandex"
id_00000296,"color is Pink Knit Short sleeves, ribbed crew neck"
id_00000297,"color is White Semi-sheer, scoop neckline Lightweight"
id_00000298,color is Charcoal Midweight Fully lined
id_00000299,"color is White black Officially licensed product Knit, lightweight"
id_00000300,"color is Dark navy cream Unlined Lightweight, woven"
id_00000301,"color is Red Partially lined, lightweight Shell: 50% cotton, 46% polyester, 4% spandex; Lining: 100% polyester"
id_00000302,"color is Fuchsia Partially lined Lightweight, woven"
id_00000303,"color is Cream Unlined, knit 100% acrylic"
id_00000304,"color is Taupe cream 22"" approx. length from high point shoulder to hem, 34"" chest, 35"" waist Measured from Small"
id_00000305,"color is Black white Lightweight knit 29.25"" full length, 44"" chest, 42.5"" waist, 9.25"" sleeve length"
id_00000306,"color is Cream Unlined, lightweight Shell: 100% rayon; Contrast: 100% cotton"
id_00000307,"color is Blush Unlined Lightweight, woven"
id_00000308,"color is Black multi Zip fly Unlined, woven"
id_00000309,"color is Blue ivory Lightweight, woven Unlined, basic collar"
id_00000310,"color is Black Unlined Lightweight, woven"
id_00000311,"color is White blue Unlined, woven 100% rayon"
id_00000312,"color is Cream burgundy 28"" approx. length from high point shoulder to hem, 44"" chest, 42"" waist, 9"" sleeve length from high point shoulder Measured from Medium"
id_00000313,"color is Denim washed Woven, zip fly 68% cotton, 31% polyester, 1% spandex"
id_00000314,"color is Blush Concealed back zipper, partially lined Lightweight"
id_00000315,"color is Blue cream Unlined, woven 100% rayon"
id_00000316,"color is Ivory navy Lightweight knit 55% polyester, 45% cotton"
id_00000317,"color is Medium denim Lightweight, woven 80% cotton, 18% polyester, 2% spandex"
id_00000318,"color is Olive Exposed side zipper, unlined Lightweight, woven"
id_00000319,color is Yellow Officially licensed product Lightweight knit
id_00000320,"color is Heather grey Lightweight 72% rayon, 24% polyester, 4% spandex"
id_00000321,"color is Navy white Lightweight, woven Basic collar, buttoned front"
id_00000322,color is Mustard Lightweight knit 100% cotton
id_00000323,"color is Taupe black Lightweight 95% rayon, 3% spandex, 2% polyester"
id_00000324,"color is Black Slanted front pockets, partially lined Lightweight, woven & knit"
id_00000325,"color is Olive Woven, unlined 100% viscose"
id_00000326,"color is Light denim Lightweight, woven 98% cotton, 2% spandex"
id_00000327,"color is Grey black Lightweight knit 95% cotton, 5% spandex"
id_00000328,"color is Teal black Concealed side zipper, unlined Lightweight, woven"
id_00000329,"color is Coral white  25"" approx. length from high point shoulder to hem, 42"" chest, 40"" waist, 7"" sleeve length from high point shoulder  Measured from Small "
id_00000330,color is Wine Lightweight Short sleeves
id_00000331,color is Cream black Officially licensed product Lightweight
id_00000332,"color is Grey red Lightweight 80% cotton, 20% polyester"
id_00000333,color is Cream Lightweight knit Shell: 100% rayon; Contrast: 100% cotton
id_00000334,"color is Black white Partially lined, elasticized waist 96% polyester, 4% spandex"
id_00000335,"color is Cream Unlined Lightweight, woven"
id_00000336,"color is Salmon Shell 1: 79% polyester, 21% rayon; Shell 2: 65% polyester, 32% cotton, 3% spandex 46"" full length, 40"" chest, 40"" waist"
id_00000337,"color is Khaki Lightweight, woven Unlined, slant & welt pockets"
id_00000338,"color is Heather grey Woven, unlined Lightweight"
id_00000339,"color is Olive Lightweight knit 92% polyester, 8% linen"
id_00000340,color is Heather grey black Lightweight 100% linen (flax)
id_00000341,color is Cream multi Officially licensed product Crew neckline
id_00000342,"color is Burgundy Ribbed trim, crew neck Knit"
id_00000342,"color is Burgundy Ribbed trim, crew neck Knit"
id_00000343,"color is Teal Lightweight 66% polyester, 32% rayon, 2% spandex"
id_00000344,"color is Teal Adjustable straps, detachable belt Woven, partially lined"
id_00000345,color is Pink green Crew neck Lightweight
id_00000346,color is Cream black Short sleeves Lightweight knit
id_00000347,"color is Navy ivory Hook-eye closure at back, fully lined Lightweight, woven"
id_00000348,color is Teal black Unlined Lightweight knit
id_00000349,color is White grey Dropped armholes Knit
id_00000349,color is White grey Dropped armholes Knit
id_00000350,"color is Teal Lightweight, woven 3/4 sleeves, unlined"
id_00000351,color is Mustard Unlined Lightweight
id_00000352,color is Dark denim Drawstring waist Woven
id_00000353,"color is Denim washed Lightweight, woven 73% cotton, 23% polyester, 3% rayon, 1% spandex"
id_00000354,"color is Red Elasticized hem Lightweight, woven"
id_00000355,"color is Red cream Unlined Lightweight, woven"
id_00000356,"color is Light denim Front pockets, unlined Lightweight,  woven"
id_00000357,color is Black oatmeal Lightweight knit Contrast ribbed trim
id_00000358,"color is Pink cream Unlined Lightweight, woven"
id_00000359,"color is Ivory black Lightweight knit 51% cotton, 49% modal"
id_00000360,color is Indigo Woven Lightweight
id_00000361,"color is Blue ivory Slanted front pockets, back base-stitch pockets Lightweight, woven"
id_00000362,"color is Charcoal Lightweight 95% polyester, 5% spandex"
id_00000363,"color is White Unlined Lightweight, woven"
id_00000364,"color is Oatmeal 25"" approx. length from high point shoulder to hem, 40"" chest, 40"" waist, 16"" sleeve length from high point shoulder Measured from Small"
id_00000365,color is Blue cream Round neckline Lightweight knit
id_00000366,"color is Cream Lightweight, unlined Woven"
id_00000367,"color is White Unlined, woven Side vents"
id_00000368,"color is Cream black Officially licensed product Raw cut trim, crew neckline"
id_00000369,"color is Black cream Unlined Lightweight, woven"
id_00000370,"color is Navy burgundy Lightweight Shell 1: 66% polyester, 34% cotton; shell 2: 71% polyester, 29% cotton"
id_00000371,"color is Cream black Dropped shoulders 57% cotton, 43% polyester"
id_00000372,"color is Black Unlined, woven Buttoned keyhole back"
id_00000373,"color is Indigo Concealed side zipper Woven, unlined"
id_00000374,"color is Silver Unlined 64% rayon, 36% polyester"
id_00000375,color is Heather grey yellow Elasticized waist Ribbed ankles
id_00000376,"color is Mustard Unlined, shirred round neckline Lightweight, woven"
id_00000376,"color is Mustard Unlined, shirred round neckline Lightweight, woven"
id_00000377,"color is Black burgundy Unlined, woven 100% polyester"
id_00000378,"color is Burgundy Slip included Lightweight, knit"
id_00000379,"color is Cream black Lightweight 65% polyester, 31% rayon, 4% spandex"
id_00000380,"color is Cream Woven, unlined Shell 1: 100% polyester; Shell 2: 94% rayon, 6% polyester"
id_00000381,color is Cream black Unlined Woven
id_00000382,"color is Denim washed Zip fly, five-pocket construction Lightweight, woven"
id_00000383,"color is Ivory red Unlined Lightweight, woven"
id_00000384,color is White black Officially licensed product Unlined
id_00000385,"color is Black cream Lightweight knit 51% cotton, 49% polyester"
id_00000386,color is Blue Unlined Ribbed trim
id_00000387,"color is Navy red Basic collar Unlined, woven"
id_00000388,"color is Burgundy Removable faux leather belt, short sleeves Lightweight, unlined"
id_00000389,"color is Grey cream Knit 49% polyester, 48% rayon, 3% spandex"
id_00000390,"color is White yellow Lightweight knit 60% cotton, 40% polyester"
id_00000391,"color is Ivory rose Partially lined, woven Shell 1 & Lining: 100% polyester; Shell 2: 100% nylon; Shell 3: 100% cotton"
id_00000392,"color is Sage coral Adjustable cami straps, unlined Lightweight, woven"
id_00000393,"color is Black Lightweight, zippered front Ribbed trim"
id_00000394,"color is Rust multi Unlined, woven Shell: 100% rayon; Lining: 100% polyester"
id_00000395,"color is Navy white Unlined Lightweight, woven"
id_00000396,"color is Olive orange Lightweight, woven 100% cotton"
id_00000397,color is Mustard Unlined Woven
id_00000398,"color is Red Lightweight, woven Unlined, elasticized waist"
id_00000399,"color is Red Partially lined Lightweight, woven"
